TopK,mcc_mean,mcc_std,mcc_q1,mcc_median,mcc_q3
1,0.06086942557996064,0.04976866456464206,0.01925285627545546,0.05562385901550535,0.07967814775570803
3,0.18871065834856585,0.057252562508393806,0.14690698725049833,0.16980780166863804,0.23150781660620062
10,0.36042751759843944,0.07754992115458346,0.3118223941723322,0.34480730997158954,0.42007945708346717
