metric,n_pairs,wilcoxon_statistic,raw_p_value,holm_bonferroni_p_value,rank_biserial_correlation
RR@1,70,1697.0,0.0029748677142967224,0.0029748677142967224,0.36579476861167004
RR@3,70,1769.0,0.0008607427389073859,0.0025822282167221574,0.42374245472837013
RR@10,70,1765.0,0.0009900575118764248,0.0025822282167221574,0.42052313883299797
