source_row,perturbation_id,masked_feature_count,unmasked_feature_count,used_fallback_to_all_rows,candidate_count_true,min_tie_count,masked_feature_admissible,exact_match_unmasked,near_match_unmasked_le_0_05,near_match_unmasked_le_0_10,l2_distance_unmasked,hamming_distance_unmasked,reference_full_l2_to_perturbed,reference_full_hamming_to_perturbed,selected_index
1485,0,8,3,True,10531,1,False,False,False,False,0.44721361994743347,2.0,0.700856626033783,10,4075
1485,1,2,9,True,10531,1,False,False,False,False,0.4472135901451111,2.0,0.651766836643219,4,7206
1485,2,6,5,True,10531,1,False,False,False,False,0.3464101552963257,3.0,0.6651315689086914,9,660
1485,3,6,5,True,10531,1,False,False,False,False,0.19999998807907104,1.0,0.3006659150123596,7,9647
1485,4,5,6,True,10531,1,False,False,False,False,0.2828426957130432,2.0,0.4753945469856262,7,8050
1485,5,8,3,True,10531,1,False,False,False,False,0.2828426957130432,2.0,0.5245950818061829,10,9382
1485,6,3,8,True,10531,1,False,False,False,False,0.19999998807907104,1.0,0.4303486943244934,4,3547
1485,7,4,7,True,10531,1,False,False,False,False,0.19999998807907104,1.0,0.3709447383880615,5,3959
1485,8,7,4,True,10531,1,False,False,False,False,0.4898979663848877,3.0,0.6219324469566345,10,8060
1485,9,11,0,True,10531,1,False,,,,,,0.7927168607711792,11,8060
1485,10,2,9,False,2958,45,True,True,True,True,0.0,0.0,0.028284255415201187,2,1753
1485,11,1,10,False,10446,88,True,True,True,True,0.0,0.0,0.019999980926513672,1,8524
1485,12,3,8,True,10531,1,False,False,False,False,0.19999998807907104,1.0,0.2986636757850647,4,7830
1485,13,2,9,False,2,1,True,False,False,False,0.2828426957130432,2.0,0.28425338864326477,4,4152
1485,14,7,4,True,10531,1,False,False,False,False,0.2828426957130432,2.0,0.6714164018630981,9,9896
1485,15,2,9,False,1,1,True,False,False,False,1.1661903858184814,9.0,1.1665332317352295,11,53
1485,16,3,8,False,1,1,True,False,False,False,0.9999999403953552,8.0,1.00059974193573,11,53
1485,17,2,9,False,4,1,True,False,False,False,0.8485281467437744,6.0,0.8489995002746582,8,6271
1485,18,8,3,True,10531,2,False,False,False,False,0.19999998807907104,1.0,0.6412488222122192,9,9382
1485,19,1,10,False,23,1,True,False,False,False,0.7211102843284607,7.0,0.7213875651359558,8,1162
1485,20,11,0,True,10531,1,False,,,,,,0.7927168607711792,11,8060
1485,21,2,9,False,23,1,True,False,False,False,0.5999999642372131,6.0,0.6006662845611572,8,1162
1485,22,11,0,True,10531,1,False,,,,,,0.7927168607711792,11,8060
1485,23,4,7,True,10531,1,False,False,False,False,0.19999998807907104,1.0,0.7222188115119934,5,3959
1485,24,4,7,True,10531,1,False,False,False,False,0.5291502475738525,4.0,0.6523802280426025,8,429
1485,25,11,0,True,10531,1,False,,,,,,0.7927168607711792,11,8060
1485,26,10,1,True,10531,1,False,True,True,True,0.0,0.0,0.7924644947052002,10,8060
1485,27,2,9,False,1,1,True,False,False,False,1.2649110555648804,9.0,1.265227198600769,11,26
1485,28,7,4,True,10531,1,False,False,False,False,0.4472135901451111,2.0,0.5888972878456116,9,6271
1485,29,1,10,False,573,29,True,True,True,True,0.0,0.0,0.019999995827674866,1,1744
1485,30,10,1,True,10531,1,False,True,True,True,0.0,0.0,0.761577308177948,10,6271
1485,31,5,6,True,10531,1,False,False,False,False,0.4898979663848877,3.0,0.7169379591941833,8,8050
6788,0,4,7,True,10531,1,False,False,False,False,0.19999998807907104,1.0,0.2993325889110565,5,2133
6788,1,9,2,True,10531,2,False,True,True,True,0.0,0.0,0.7400000095367432,9,3329
6788,2,6,5,True,10531,1,False,False,False,False,0.3464101552963257,3.0,0.5607138276100159,9,7204
6788,3,5,6,True,10531,1,False,False,False,False,0.2828426957130432,2.0,0.6340346932411194,7,251
6788,4,6,5,True,10531,1,False,False,False,False,0.4898979365825653,3.0,0.7499333620071411,9,7204
6788,5,6,5,True,10531,1,False,False,False,False,0.2828426957130432,2.0,0.5238320231437683,8,8997
6788,6,10,1,True,10531,1,False,True,True,True,0.0,0.0,0.7720103859901428,10,1969
6788,7,7,4,True,10531,1,False,False,False,False,0.4472135901451111,2.0,0.7230491042137146,9,8997
6788,8,7,4,True,10531,1,False,False,False,False,0.2828426957130432,2.0,0.6714164614677429,9,5069
6788,9,9,2,True,10531,1,False,True,True,True,0.0,0.0,0.7400000095367432,9,1969
6788,10,9,2,True,10531,1,False,False,False,False,0.19999998807907104,1.0,0.6415606141090393,10,3329
6788,11,2,9,False,1,1,True,False,False,False,0.8246211409568787,6.0,0.8251060843467712,8,8997
6788,12,5,6,True,10531,1,False,False,False,False,0.4472135901451111,2.0,0.5882176160812378,7,1969
6788,13,9,2,True,10531,1,False,False,False,False,0.20000001788139343,1.0,0.5325410962104797,10,8060
6788,14,2,9,True,10531,2,False,True,True,True,0.0,0.0,0.3111270070075989,2,5961
6788,15,6,5,True,10531,1,False,False,False,False,0.3464101552963257,3.0,0.7002856731414795,9,5293
6788,16,1,10,False,53,1,True,True,True,True,0.0,0.0,0.019999995827674866,1,406
6788,17,6,5,True,10531,1,False,True,True,True,0.0,0.0,0.5678027868270874,6,10226
6788,18,9,2,True,10531,2,False,False,False,False,0.19999998807907104,1.0,0.7665507793426514,10,3329
