metric,mean_tie_output_std,median_tie_output_std,mean_tie_output_range,median_tie_output_range,mean_selected_minus_tie_mean_abs,n_total_perturbations,n_multi_tie_perturbations,multi_tie_rate,mean_tie_output_std_when_gt1,median_tie_output_std_when_gt1,mean_tie_output_range_when_gt1,median_tie_output_range_when_gt1,mean_selected_minus_tie_mean_abs_when_gt1
explanation_length,28.054101226165734,0.0,66.451904296875,0.0,26.091647042235806,8192,1860,0.22705078125,123.55870819610199,35.499804380768694,292.6741935483871,96.0,114.91546912365364
framing_effect,0.11423250870598203,0.0,0.26708984375,0.0,0.10852273423149425,8192,1860,0.22705078125,0.5031143609244111,0.5,1.1763440860215053,1.0,0.4779667950668822
gunning_fog,0.6323560546415649,0.0,1.7402356694219634,0.0,0.5854244715007457,8192,1860,0.22705078125,2.785086451410591,2.5220315313532056,7.664521830056303,6.069999694824219,2.5783856293194134
information_overload,0.1120618867656242,0.0,0.2852783203125,0.0,0.09949258626210511,8192,1860,0.22705078125,0.49355428837849113,0.5,1.2564516129032257,1.0,0.4381953046554651
oversimplification,0.05044682829674127,0.0,0.1298828125,0.0,0.04486070194855787,8192,1860,0.22705078125,0.22218302011123897,0.0,0.5720430107526882,0.0,0.19758003782934733
sentiment_score_nn,0.04794645963854512,0.0,0.12661558400577633,0.0,0.04320657224282019,8192,1860,0.22705078125,0.21117064374137723,0.2005205750465393,0.5576531527824299,0.4032334089279175,0.19029475258773274
subjectivity_score_nn,0.03313356904126816,0.0,0.08045701804803684,0.0,0.03032274123777161,8192,1860,0.22705078125,0.14593021375595094,0.01211199164390564,0.3543569311018913,0.02876308560371399,0.1335504818386156
