,rule,coef
2,common,-1789.4734
9,interdisciplinary,837.6792
5,positive,382.3892
4,unambiguous,-125.32001
3,socially controversial,75.32726
10,subject to time variability,-52.09394
8,subject to geographical variability,-41.546146
6,negative,-30.277943
7,neutral,16.47895
1,technically complicated,-11.247162
0,conceptually dense,4.9031253
