,rule,type,coef,support,importance
491,positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & conceptually dense > 0.7000000178813934,rule,0.18180900651325338,0.2811188811188811,0.08173140035978535
518,common > 0.7000000178813934 & negative <= 0.7000000178813934 & unambiguous > 0.30000000447034836 & technically complicated <= 0.7000000178813934 & negative > 0.5000000149011612,rule,-0.0009451975364869447,0.1258741258741259,0.0003135290616166628
528,technically complicated > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial > 0.5000000149011612,rule,0.037726996697722844,0.02937062937062937,0.006369943420616228
539,positive > 0.30000000447034836 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & neutral <= 0.5000000149011612 & socially controversial > 0.5000000149011612 & subject to time variability <= 0.9000000059604645,rule,0.038526752143733176,0.08671328671328671,0.010841984761519955
543,common > 0.7000000178813934 & negative <= 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial > 0.5000000149011612 & neutral <= 0.7000000178813934,rule,-0.07841551081978058,0.07412587412587412,0.02054295257895136
563,positive > 0.30000000447034836 & neutral > 0.5000000149011612 & neutral > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934,rule,-0.07532091084066164,0.05874125874125874,0.017710943545515286
574,common > 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & positive > 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,-0.03810300469736462,0.16363636363636364,0.014096026429423583
580,positive > 0.5000000149011612 & technically complicated > 0.5000000149011612,rule,0.04894065845957186,0.6615384615384615,0.023158051730154762
632,technically complicated > 0.30000000447034836 & socially controversial > 0.30000000447034836 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & interdisciplinary <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,rule,-0.16810944321994478,0.004195804195804196,0.010866425132501278
635,negative > 0.5000000149011612 & positive > 0.5000000149011612 & negative <= 0.9000000059604645 & socially controversial > 0.7000000178813934,rule,-0.09936254791184518,0.34405594405594403,0.0472031142641157
647,socially controversial <= 0.5000000149011612 & neutral > 0.5000000074505806 & technically complicated <= 0.7000000178813934,rule,-0.10761042227470749,0.06153846153846154,0.025860438944468073
649,negative <= 0.5000000149011612 & socially controversial <= 0.7000000178813934,rule,-0.10283758778375676,0.14825174825174825,0.03654327096522773
676,interdisciplinary > 0.7000000178813934 & neutral > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & unambiguous <= 0.7000000178813934,rule,0.2909012044393365,0.16783216783216784,0.10871477803300597
683,socially controversial <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,-0.22441230696432676,0.04755244755244755,0.0477588260554173
686,unambiguous > 0.5000000149011612 & neutral > 0.30000000447034836 & socially controversial > 0.5000000149011612,rule,0.11764496644656333,0.579020979020979,0.058083225632067324
709,neutral <= 0.7000000178813934 & technically complicated > 0.30000000447034836 & technically complicated > 0.7000000178813934,rule,0.13494106866985164,0.2517482517482518,0.05856676648982078
739,conceptually dense > 0.5000000149011612 & common <= 0.9000000059604645 & common > 0.7000000178813934,rule,0.026427093727058523,0.6251748251748251,0.012792767936610319
743,conceptually dense > 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.30000000447034836 & interdisciplinary > 0.7000000178813934,rule,0.24609323516831738,0.6839160839160839,0.1144200894440542
765,negative > 0.7000000178813934 & conceptually dense <= 0.7000000178813934,rule,-0.026481838936959788,0.055944055944055944,0.006085888342653778
769,common <= 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,0.043338976277392076,0.3048951048951049,0.019951660577597508
790,common > 0.7000000178813934 & negative <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & unambiguous <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & neutral > 0.4000000134110451,rule,0.25875760816423504,0.16783216783216784,0.09670216385024503
804,positive <= 0.30000000447034836 & neutral > 0.30000000447034836 & socially controversial > 0.5000000149011612,rule,0.0427265636882359,0.026573426573426574,0.00687184482932463
829,conceptually dense > 0.5000000149011612 & common <= 0.7000000178813934 & common <= 0.9000000059604645 & technically complicated <= 0.5000000149011612,rule,-0.0843475520429008,0.033566433566433566,0.015191864761430758
848,negative > 0.5000000149011612 & common <= 0.7000000178813934,rule,0.203360695625161,0.2965034965034965,0.09287800963973136
872,socially controversial <= 0.9000000059604645 & negative > 0.9000000059604645 & socially controversial > 0.7000000178813934,rule,9.213936425808773e-05,0.1006993006993007,2.772751214967918e-05
880,conceptually dense > 0.5000000149011612 & common <= 0.9000000059604645,rule,0.42024423782755266,0.9370629370629371,0.1020561976873245
926,conceptually dense > 0.7000000178813934 & common <= 0.9000000059604645,rule,0.6941565933965717,0.6951048951048951,0.31956400286211745
928,positive > 0.7000000178813934 & common > 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,0.14182143383149906,0.1874125874125874,0.05534473284563956
962,conceptually dense > 0.7000000178813934 & negative > 0.9000000059604645 & technically complicated <= 0.9000000059604645,rule,0.05734147491460437,0.13426573426573427,0.019549864818845054
989,conceptually dense > 0.5000000149011612 & positive > 0.5000000149011612 & neutral > 0.5000000149011612,rule,0.027156144154694112,0.5846153846153846,0.013382228130605156
