,rule,type,coef,support,importance
678,technically complicated > 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.007858757571825971,0.17762237762237762,0.0030035742575929484
697,socially controversial <= 0.9000000059604645 & technically complicated > 0.5000000149011612 & positive <= 0.7000000178813934,rule,-0.018440652690734468,0.2881118881118881,0.008351466589108387
698,positive <= 0.9000000059604645 & positive <= 0.7000000178813934 & common > 0.30000000447034836,rule,-0.19251262070760664,0.34405594405594403,0.09145493371011093
699,conceptually dense > 0.5000000149011612 & negative > 0.9000000059604645 & negative > 0.5000000149011612,rule,-0.000998206385767584,0.14545454545454545,0.0003519261810785361
722,socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive > 0.7000000178813934 & neutral > 0.4000000134110451,rule,-0.01698584048022173,0.15244755244755245,0.006105631093987857
727,common > 0.7000000178813934 & positive <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,rule,-0.05073149073872932,0.009790209790209791,0.0049950199973705835
744,negative <= 0.5000000149011612 & socially controversial <= 0.7000000178813934,rule,0.006245493364242765,0.15944055944055943,0.0022863903114336637
749,unambiguous <= 0.7000000178813934 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & common > 0.5000000149011612 & negative > 0.5000000149011612,rule,-0.0403576870362615,0.2839160839160839,0.018197143748500115
789,socially controversial <= 0.9000000059604645 & technically complicated > 0.5000000149011612,rule,-0.01131398723075681,0.8181818181818182,0.004363743868977899
791,positive <= 0.7000000178813934 & negative > 0.9000000059604645,rule,-0.010885716904770233,0.08811188811188811,0.003085638655979091
797,socially controversial <= 0.7000000178813934 & positive <= 0.7000000178813934 & common > 0.5000000149011612,rule,-0.12512286235478576,0.03496503496503497,0.022983977022230283
817,common <= 0.9000000059604645 & common > 0.5000000149011612 & conceptually dense <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934 & interdisciplinary > 0.5000000149011612,rule,0.018269071646837925,0.9062937062937063,0.005323966835643819
841,common > 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & negative > 0.9000000059604645,rule,-0.02525643369129256,0.06153846153846154,0.006069509324676173
888,technically complicated <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & technically complicated > 0.30000000447034836,rule,0.005046450595573595,0.4223776223776224,0.0024926338095388576
