,rule,coef
5,positive,2.1072805
4,unambiguous,0.48773167
3,socially controversial,-0.20758459
0,conceptually dense,0.19276221
1,technically complicated,-0.16941714
2,common,-0.14547047
10,subject to time variability,0.12991716
8,subject to geographical variability,0.11410026
7,neutral,-0.09822086
9,interdisciplinary,-0.03847537
6,negative,-0.034210876
