,rule,coef
9,interdisciplinary,-33.359726
3,socially controversial,-21.174475
1,technically complicated,-18.0442
2,common,15.224911
0,conceptually dense,-14.024648
5,positive,-10.456682
10,subject to time variability,9.191107
8,subject to geographical variability,8.471269
4,unambiguous,-5.1642494
6,negative,3.6868277
7,neutral,3.271767
