model,score_type,variant_a,repeat_a,variant_b,repeat_b,n_topics,exact_agreement,within_one_agreement,spearman,mean_abs_diff
llama3.1,subject to time variability,canonical,1,web_focus,0,80,1.0,1.0,0.0,0.0
llama3.1,subject to time variability,canonical,1,web_focus,1,80,1.0,1.0,0.0,0.0
llama3.1,subject to time variability,web_focus,0,web_focus,1,80,1.0,1.0,0.0,0.0
llama3.1,technically complicated,canonical,0,canonical,1,80,1.0,1.0,1.0,0.0
llama3.1,technically complicated,canonical,0,web_focus,0,80,0.675,1.0,0.7153672542876334,0.325
llama3.1,technically complicated,canonical,0,web_focus,1,80,0.675,1.0,0.7153672542876334,0.325
llama3.1,technically complicated,canonical,1,web_focus,0,80,0.675,1.0,0.7153672542876334,0.325
llama3.1,technically complicated,canonical,1,web_focus,1,80,0.675,1.0,0.7153672542876334,0.325
llama3.1,technically complicated,web_focus,0,web_focus,1,80,1.0,1.0,1.0,0.0
llama3.1,unambiguous,canonical,0,canonical,1,80,1.0,1.0,1.0,0.0
llama3.1,unambiguous,canonical,0,web_focus,0,80,0.9625,1.0,0.8833887522664292,0.0375
llama3.1,unambiguous,canonical,0,web_focus,1,80,0.9625,1.0,0.8833887522664292,0.0375
llama3.1,unambiguous,canonical,1,web_focus,0,80,0.9625,1.0,0.8833887522664292,0.0375
llama3.1,unambiguous,canonical,1,web_focus,1,80,0.9625,1.0,0.8833887522664292,0.0375
llama3.1,unambiguous,web_focus,0,web_focus,1,80,1.0,1.0,1.0,0.0
