LLM,Complexity,TopK,r2,mae,spearman,mcc,f1
gpt-3.5-turbo,easy,1,0.03863028295946502,51.23516270480188,-0.14803034778211874,,
gpt-3.5-turbo,easy,3,0.04274411104151643,51.388999643015346,-0.057627697456844415,,
gpt-3.5-turbo,easy,10,0.04922164886706393,51.71803509990249,0.036679655614213505,,
gpt-3.5-turbo,hard,1,0.329851989750764,26.753080917935193,0.416319893279479,,
gpt-3.5-turbo,hard,3,0.34579182631390476,26.54141364640436,0.3983328266533818,,
gpt-3.5-turbo,hard,10,0.3658094745814127,23.857501706316853,0.46806159658396146,,
gpt-3.5-turbo,medium,1,0.3194812260279907,32.96603259296465,0.42812179288035324,,
gpt-3.5-turbo,medium,3,0.3265206863238092,33.00263814125778,0.4090753415307069,,
gpt-3.5-turbo,medium,10,0.3323310897217544,32.24862758308564,0.44884566905445533,,
gpt-4o,easy,1,0.13054146640874686,137.99692542807617,-0.07128703909571187,,
gpt-4o,easy,3,0.12957363344997552,137.95988292221836,-0.12597061706927626,,
gpt-4o,easy,10,0.13190035500425112,138.82297377883677,-0.0636439092643314,,
gpt-4o,hard,1,0.28477480624369506,117.19126522560833,0.45809618738688007,,
gpt-4o,hard,3,0.299587182819864,116.43537776710957,0.4678411770990271,,
gpt-4o,hard,10,0.3313771326362468,115.26186117097222,0.5277186116907516,,
gpt-4o,medium,1,0.39505530069987543,170.9882912415661,0.5139044654648066,,
gpt-4o,medium,3,0.40465106216894253,170.08361927864695,0.5763909425905269,,
gpt-4o,medium,10,0.41065997468834364,168.19960933000357,0.5478341896651163,,
gpt-4o-mini,easy,1,0.5440171525984788,376.73600591639223,0.3674431207661563,,
gpt-4o-mini,easy,3,0.5477348355566793,370.12687345995676,0.09196142131538415,,
gpt-4o-mini,easy,10,0.5576815845711672,363.2718055131304,0.1548309562708337,,
gpt-4o-mini,hard,1,0.20878267834382036,17.647513030699034,0.25173011637534887,,
gpt-4o-mini,hard,3,0.36183967143116513,16.691667842853708,0.4295333829432047,,
gpt-4o-mini,hard,10,0.3967582069973227,14.743825536920534,0.5390228754725882,,
gpt-4o-mini,medium,1,0.35837466209720076,20.4788969576656,0.44983277803072663,,
gpt-4o-mini,medium,3,0.3767008211436349,18.887663754056664,0.5277966174936721,,
gpt-4o-mini,medium,10,0.3835962415702872,19.21476502380806,0.5197661559498828,,
llama3.1,easy,1,0.00758549846953438,51.21792416260069,0.1896905997790855,,
llama3.1,easy,3,0.058690828105112836,56.989606173194815,0.17063616901617418,,
llama3.1,easy,10,0.20873401878842768,62.72564250524495,-0.0009519344965514575,,
llama3.1,hard,1,0.30598242530760617,87.7159291845099,0.34208331841254136,,
llama3.1,hard,3,0.3263898725507976,85.72288256159474,0.42532011230996103,,
llama3.1,hard,10,0.42058496428074793,86.00158230562819,0.5610767800288724,,
llama3.1,medium,1,0.47132715779938944,130.01854004955885,0.4738241823362646,,
llama3.1,medium,3,0.48823664297745945,127.49211868914058,0.5561963855012209,,
llama3.1,medium,10,0.495281612212416,127.09729869470775,0.5520292534524971,,
llama3.1:70b,easy,1,-0.0012485349181572403,230.93665702038302,-0.13877970723758143,,
llama3.1:70b,easy,3,0.15617259203953848,326.7051498547295,0.006578314678244327,,
llama3.1:70b,easy,10,0.16231917798450102,323.20029736236637,0.0027306123825866515,,
llama3.1:70b,hard,1,0.3937537973239235,64.17881756423685,0.5381922109677507,,
llama3.1:70b,hard,3,0.4188546871180847,62.439080627531204,0.5804618507533551,,
llama3.1:70b,hard,10,0.47266760191724194,60.36365035320523,0.5978663957741723,,
llama3.1:70b,medium,1,0.5232836764182593,79.5513103238882,0.47948752334396105,,
llama3.1:70b,medium,3,0.5308554336887941,79.55660437639246,0.5376970700883061,,
llama3.1:70b,medium,10,0.5359731921696116,80.61480348849287,0.5129590320504982,,
