LLM,Complexity,Metric,TopK,RuleCountFile,EvalMode,r2,mae,spearman,mcc,f1
llama3.1:70b,easy,explanation_length,1,89,heldout_refit_on_rule_activations,0.7173191002549493,84.81568304469769,0.2554217165104495,0.7893897263208092,0.7743271221532091
llama3.1:70b,easy,explanation_length,3,89,heldout_refit_on_rule_activations,0.9751722812929586,37.6073175822495,0.3177354494051697,0.7893897263208092,0.7743271221532091
llama3.1:70b,easy,explanation_length,10,89,heldout_refit_on_rule_activations,0.9759432793379877,36.97284633482806,0.3177337941308685,0.9680126298328813,0.9686411149825784
llama3.1,easy,information_overload,1,111,heldout_refit_on_rule_activations,0.023067878225112137,0.5146817488322345,0.14052455668165917,0.10115719639958601,0.08187134502923976
llama3.1,easy,information_overload,3,111,heldout_refit_on_rule_activations,0.03994019490586176,0.5040000715973458,0.11069421294248129,0.10115719639958601,0.08187134502923976
llama3.1,easy,information_overload,10,111,heldout_refit_on_rule_activations,0.08427489817146294,0.4795834910572501,0.18439260617672093,0.830536322333386,0.8172043010752689
gpt-4o,hard,information_overload,1,189,heldout_refit_on_rule_activations,0.4549682449880098,0.6564698476370591,0.7346444785631312,0.7765847866269543,0.8375220105650713
gpt-4o,hard,information_overload,3,189,heldout_refit_on_rule_activations,0.4724099685035651,0.6391800848478911,0.746898986907486,0.7765847866269543,0.8375220105650713
gpt-4o,hard,information_overload,10,189,heldout_refit_on_rule_activations,0.7583011518364879,0.3497626810539605,0.8690868657398181,0.7765847866269543,0.8375220105650713
llama3.1,hard,gunning_fog,1,120,heldout_refit_on_rule_activations,0.04771708929946428,4.314157303435081,0.1618335487659118,0.6251014012057835,0.570264765784114
llama3.1,hard,gunning_fog,3,120,heldout_refit_on_rule_activations,0.08031594411760457,4.268139745432863,0.2235287238119109,0.6429611781394935,0.593186372745491
llama3.1,hard,gunning_fog,10,120,heldout_refit_on_rule_activations,0.4699197670736446,3.059052983661902,0.6527285315159681,0.6429611781394935,0.593186372745491
gpt-4o-mini,medium,information_overload,1,103,heldout_refit_on_rule_activations,0.01283301638663148,0.5594907518224185,0.08788917739084018,0.9072862975694118,0.9032258064516129
gpt-4o-mini,medium,information_overload,3,103,heldout_refit_on_rule_activations,0.05324318617774515,0.5406408174228508,0.21065062242127108,0.9072862975694118,0.9032258064516129
gpt-4o-mini,medium,information_overload,10,103,heldout_refit_on_rule_activations,0.22534757553956264,0.46666127820540565,0.408962459657701,0.9072862975694118,0.9032258064516129
llama3.1:70b,medium,oversimplification,1,139,heldout_refit_on_rule_activations,0.010808105669850132,0.9655804759857008,0.10777620454755207,-0.026213760227437148,0.0
llama3.1:70b,medium,oversimplification,3,139,heldout_refit_on_rule_activations,0.04141292277480979,0.9375470805929598,0.19313877024832435,0.9709610330469293,0.9712918660287081
llama3.1:70b,medium,oversimplification,10,139,heldout_refit_on_rule_activations,0.21799916172157108,0.7693848020296516,0.4425266427958131,0.9709610330469293,0.9712918660287081
llama3.1,medium,subjectivity_score_nn,1,193,heldout_refit_on_rule_activations,0.8394720170061499,0.08218514244156966,0.8055349190075469,0.9980551205315951,0.9993649897692796
llama3.1,medium,subjectivity_score_nn,3,193,heldout_refit_on_rule_activations,0.8430192787778366,0.07966655300543021,0.7945242507647676,0.9980551205315951,0.9993649897692796
llama3.1,medium,subjectivity_score_nn,10,193,heldout_refit_on_rule_activations,0.8454207919206526,0.07833166102646019,0.6870657996541715,0.9980551205315951,0.9993649897692796
gpt-3.5-turbo,medium,explanation_length,1,154,heldout_refit_on_rule_activations,0.0770154599652465,50.21679126514202,0.05944050202803632,0.39708939522157655,0.27450980392156865
gpt-3.5-turbo,medium,explanation_length,3,154,heldout_refit_on_rule_activations,0.9222023270394523,35.114823165722164,0.17874608803620776,0.824328525475318,0.8108108108108109
gpt-3.5-turbo,medium,explanation_length,10,154,heldout_refit_on_rule_activations,0.9359723308695971,35.22861114294314,0.16988149292886912,0.9782553871599626,0.9782608695652174
llama3.1,hard,oversimplification,1,115,heldout_refit_on_rule_activations,0.016894531700950344,0.33074919289890403,0.1437919830556719,-0.017457983888150164,0.0
llama3.1,hard,oversimplification,3,115,heldout_refit_on_rule_activations,0.05144651418383228,0.3284868629560495,0.2245177221000624,-0.01658557546933106,0.0
llama3.1,hard,oversimplification,10,115,heldout_refit_on_rule_activations,0.11060982130079056,0.32228190777173327,0.3222584199815474,0.08131839766643488,0.10972568578553615
gpt-4o,hard,explanation_length,1,85,heldout_refit_on_rule_activations,0.972141845483448,70.90143256033026,0.42529512705689526,1.0,1.0
gpt-4o,hard,explanation_length,3,85,heldout_refit_on_rule_activations,0.9719400974339862,70.84227998097185,0.42516423720931684,1.0,1.0
gpt-4o,hard,explanation_length,10,85,heldout_refit_on_rule_activations,0.9785952593309931,57.07739632462228,0.7603260566294178,1.0,1.0
gpt-4o-mini,easy,explanation_length,1,23,heldout_refit_on_rule_activations,0.9845327385940003,42.07728596209532,0.5090380074288026,1.0,1.0
gpt-4o-mini,easy,explanation_length,3,23,heldout_refit_on_rule_activations,0.9856197422373876,40.427505252013184,0.5045815974065359,1.0,1.0
gpt-4o-mini,easy,explanation_length,10,23,heldout_refit_on_rule_activations,0.9847642050915569,40.224703075611856,0.5045824402741453,1.0,1.0
gpt-3.5-turbo,hard,explanation_length,1,8,heldout_refit_on_rule_activations,0.8308670011559713,45.48622307354949,0.19737512536050342,0.9782553298768587,0.9782608695652174
