rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common <= 0.5,rule,0.01,positive,15.98,0.8,10487.61,10487.61,157.17
common <= 0.5 & negative <= 0.5,rule,0.01,positive,0.29,0.01,6259.53,6244.27,11.25
common <= 0.5 & positive > 0.70,rule,0.01,positive,0.03,0.01,4545.29,4518.33,8.65
