method,metric,mean_abs_delta,mean_pvalue,direction_consistency_rate,mean_support_ratio,n_rules
rulefit,explanation_length,327.97172896598045,0.0038277284063658996,1.0,0.5604748338081671,25
rulefit,gunning_fog,0.805658782426208,0.12026111733341878,0.96,0.35834757834757835,25
rulefit,sentiment_score_nn,0.1351774311874605,0.1701458931719508,0.92,0.07675213675213675,25
rulefit,subjectivity_score_nn,0.10604561586595677,0.0538922216184712,1.0,0.3916809116809117,25
ruleshap,explanation_length,430.2804635254592,0.025477209667176492,1.0,0.6597150997150998,25
ruleshap,gunning_fog,0.9445509292817448,0.08638335671695244,0.96,0.6953086419753086,25
ruleshap,sentiment_score_nn,0.1209252069560224,0.1904482759463809,0.96,0.5825261158594492,25
ruleshap,subjectivity_score_nn,0.11611321765160167,0.07222092780387518,0.96,0.3537511870845204,25
